1655712862-1394,https://nookipedia.com/wiki/Category:Locations,Tom Nook's store,https://nookipedia.com/wiki/Tom_Nook%27s_store,Tom Nook's store,"Tom Nook's store (also known as Tom Nook's shop or simply the shop) is a store in the Animal Crossing series owned by Tom Nook. It sells various items, such as furniture, wallpaper, flooring, and tools; Tom Nook also offers various services within the store, such as buying items from the player and giving access to the catalog. The store first appears in Doubutsu no Mori and appears in all subsequent games up to and including Animal Crossing: City Folk.",https://dodo.ac/np/images/thumb/b/bc/CF_Tom_Nook%27s_Store.png/250px-CF_Tom_Nook%27s_Store.png
1655712917-1414,https://nookipedia.com/wiki/Category:Locations,Reset Surveillance Center,https://nookipedia.com/wiki/Reset_Surveillance_Center,Reset Surveillance Center,"The Reset Surveillance Center (known as the Resetti Surveillance Center in City Folk and Resetti's Headquarters in Doubutsu no Mori e+) is a location in Doubutsu no Mori e+, Animal Crossing: City Folk, and Animal Crossing: New Leaf. Inside, Mr. Resetti and his brother, Don, live and work. In Doubutsu no Mori e+, the center is hidden under a random breakable rock. In City Folk, the center is located at the eastern end of the city, behind two traffic cones in front of the tunnel leading out of the city proper; in New Leaf, on the other hand, the facility is available as a public works project at the cost of 368,000 Bells.",https://dodo.ac/np/images/thumb/6/60/NL_Reset_Surveillance_Center_Entrance.jpg/250px-NL_Reset_Surveillance_Center_Entrance.jpg
1655712907-1410,https://nookipedia.com/wiki/Category:Locations,RV,https://nookipedia.com/wiki/RV,RV,"RVs are vehicles located in the campground in Animal Crossing: New Leaf - Welcome amiibo. Up to two RVs can be present in the campground at any one time. One of them will host a special visitor, which changes each day, or a SpotPass visitor (exclusive to Japan). The second will only be present if the player summons Wisp and scans a compatible amiibo. Only one amiibo visitor can be scanned per day.",https://dodo.ac/np/images/thumb/b/b7/NL_Campground_RV_5.png/250px-NL_Campground_RV_5.png
1655712979-1438,https://nookipedia.com/wiki/Category:Locations,Lost Lure Creek,https://nookipedia.com/wiki/Lost_Lure_Creek,Lost Lure Creek,"Lost Lure Creek is one of the four locations in Animal Crossing: Pocket Camp where collectible items can be found to trade to villagers in exchange for craft materials. River fish, as well as three fruit trees with fruit randomly selected at the start of the game, can be obtained here. Two of the trees will bear basic fruit (either Peach, Cherry, Pear, Apple, or Orange) and one three will bear local fruit (Lemon, Lychee, or Grape.)",https://dodo.ac/np/images/thumb/d/dd/Lost_Lure_Creek_PC_Map_Icon.png/250px-Lost_Lure_Creek_PC_Map_Icon.png
1655712839-1384,https://nookipedia.com/wiki/Category:Locations,Wishing well,https://nookipedia.com/wiki/Wishing_well,Wishing well,"The wishing well is a location in the Animal Crossing series that appears in Doubutsu no Mori, Animal Crossing, and Doubutsu no Mori e+. Interacting with the wishing well gives the player options, while the surrounding area acts as a hub for events.",https://dodo.ac/np/images/thumb/5/5e/PG_Wishing_Well.png/250px-PG_Wishing_Well.png
1655712881-1402,https://nookipedia.com/wiki/Category:Locations,Sunburst Island,https://nookipedia.com/wiki/Sunburst_Island,Sunburst Island,Sunburst Island is one of the four locations in Animal Crossing: Pocket Camp where collectible items can be found to trade to villagers in exchange for craft materials. Bugs and coconuts can be found here.,https://dodo.ac/np/images/thumb/f/fc/Sunburst_Island_PC_Map_Icon.png/250px-Sunburst_Island_PC_Map_Icon.png
1655712968-1435,https://nookipedia.com/wiki/Category:Locations,Museum,https://nookipedia.com/wiki/Museum,Museum,"The museum is a building in the Animal Crossing series where items can be donated. Introduced in Animal Crossing, it is an establishment for the collection and display of bugs, fish, sea creatures, artwork, and fossils. The curator, an owl named Blathers, accepts donations and assesses fossils.",https://dodo.ac/np/images/thumb/5/58/NH_Museum_Exterior_Upgrade.png/250px-NH_Museum_Exterior_Upgrade.png
1655712938-1423,https://nookipedia.com/wiki/Category:Locations,Paradise Planning,https://nookipedia.com/wiki/Paradise_Planning,Paradise Planning,"Paradise Planning is a primary location in Animal Crossing: New Horizons – Happy Home Paradise. The player can work here to design houses and facilities on the archipelago. It is run by Lottie, Niko, and Wardell, with the player working as a home designer. The Paradise Planning building is made up of 2 floors, connected by a staircase; the main floor, with Lottie's desk and a bench, and a storeroom run by Wardell. On the second floor, there are lockers for the player and all the other Paradise Planning employees, as well as tables, chairs, a hammock, and a crafting area.",https://dodo.ac/np/images/thumb/7/79/HHP_Promo_38.jpg/250px-HHP_Promo_38.jpg
1655713078-1477,https://nookipedia.com/wiki/Category:Locations,Attic,https://nookipedia.com/wiki/Attic,Attic,The attic is the top floor of the player's house in Animal Crossing: Wild World and Animal Crossing: City Folk which allows players to save the game and change settings.,https://dodo.ac/np/images/thumb/8/89/CF_Attic.png/250px-CF_Attic.png
1655712893-1407,https://nookipedia.com/wiki/Category:Locations,Sea,https://nookipedia.com/wiki/Sea,Sea,"The sea is the body of saltwater surrounding the player's town or island in the Animal Crossing series. Despite being a sea, the Animal Crossing game's sea has no tides, allowing the size of the beach to remain constant. The beach itself runs the length of the sea, with occasional breaks where outcrops lie, and where the river meets the sea. These outcrops, also known as capes, have small cliffs that separate them from the sea.",https://dodo.ac/np/images/thumb/a/a0/CF_Beach.jpg/200px-CF_Beach.jpg
1655712992-1443,https://nookipedia.com/wiki/Category:Locations,Jolly Redd's Treasure Trawler,https://nookipedia.com/wiki/Jolly_Redd%27s_Treasure_Trawler,Jolly Redd's Treasure Trawler,"Jolly Redd's Treasure Trawler is a store introduced in Animal Crossing: New Horizons' April Free Update. It is owned by Redd, replacing Crazy Redd's from prior games.",https://dodo.ac/np/images/thumb/4/4f/NH_Update_2_Redd_Ship.jpg/250px-NH_Update_2_Redd_Ship.jpg
1655712996-1444,https://nookipedia.com/wiki/Category:Locations,Hotel,https://nookipedia.com/wiki/Hotel,Hotel,"The hotel is a facility in Animal Crossing: Happy Home Designer. It is always the last facility for the player to design, and after they have done so, there will be a large ceremony and the credits will roll, beating the game.",https://dodo.ac/np/images/thumb/2/21/HHD_Hotel_1.png/250px-HHD_Hotel_1.png
1655712850-1389,https://nookipedia.com/wiki/Category:Locations,Town Tree,https://nookipedia.com/wiki/Town_Tree,Town Tree,"The Town Tree is the symbolic oak tree located at the center of the town's event plaza in Animal Crossing: New Leaf. At the beginning of the game, the player designated as mayor participates in a commemoration ceremony at the event plaza with Isabelle and the town's villagers, and they plant a tree in the square's garden so that the town can have a symbol with which it can grow simultaneously. Although it is only a sapling at first, the Town Tree grows at a steady rate based on the amount of time (in both days and hours) that the game has been played; there are six separate growth stages that it goes through before maturing – its height, diameter, and number of leaf clusters increasing each time. In addition, the player can sit on the brick edging around the tree once it reaches a certain size. This will allow them to view a list of accomplishments and statistics, as well as the game credits, while a medley of the title screen, Tortimer Island, and Main Street themes plays.",https://dodo.ac/np/images/5/55/Town_Tree_NL_Artwork.png
1655713102-1481,https://nookipedia.com/wiki/Category:Locations,Airport,https://nookipedia.com/wiki/Airport,Airport,"The Airport is a location in Animal Crossing: New Horizons where the player can travel between islands via seaplane. Dodo Airlines (often abbreviated as DAL)  is the service that operates the flights, and is run by Orville and Wilbur. Both characters are dodos, a flightless bird species that contrast with the very nature of a flight service. The Airport fulfils a similar function to the train station in Doubutsu no Mori and Animal Crossing: New Leaf, and the checkpoint of Animal Crossing: Wild World and Animal Crossing: City Folk, as well as Kapp'n's boat rides. Just as those prior buildings can be generated in one of several different colors, the town's Airport can have either blue, green, orange or yellow walls.",https://dodo.ac/np/images/thumb/6/68/Airport_NH_Artwork.png/250px-Airport_NH_Artwork.png
1655712845-1387,https://nookipedia.com/wiki/Category:Locations,Villager houses,https://nookipedia.com/wiki/Villager_houses,Villager houses,"In the Animal Crossing series, in addition to player houses, villagers each also possess their own house. They usually move onto signposts around town, except in Animal Crossing: New Leaf, where they can move in anywhere where there is sufficient space, and Animal Crossing: New Horizons, where they move into plots placed manually by the player. Each house differs in appearance slightly and is furnished differently. When a villager moves out, their house will vanish from town, leaving behind a signpost and/or a patch of bare ground.",null
1655713030-1458,https://nookipedia.com/wiki/Category:Locations,Department store,https://nookipedia.com/wiki/Department_store,Department store,"The department store is a facility in Animal Crossing: Happy Home Designer. It is part of the second group of facilities to be unlocked, along with the office, shop, and restaurant.",https://dodo.ac/np/images/thumb/0/07/HHD_Department_Store_Design_1.png/250px-HHD_Department_Store_Design_1.png
1655712931-1420,https://nookipedia.com/wiki/Category:Locations,Player house,https://nookipedia.com/wiki/Player_house,Player house,"The house is the player's personal dwelling in their town. At the beginning of each game, the player arrives to town and purchases their new home from Tom Nook through a mortgage plan. When the loan is paid off, Tom Nook offers to expand the house by increasing the room size or by adding new rooms. Each extension results in a new loan to pay for the construction.",https://dodo.ac/np/images/thumb/5/56/NH_House.png/250px-NH_House.png
1655713026-1457,https://nookipedia.com/wiki/Category:Locations,Dream Suite,https://nookipedia.com/wiki/Dream_Suite,Dream Suite,"The Dream Suite is a building in Animal Crossing: New Leaf, located on Main Street. The Suite is run by Luna, who will allow the player to visit friends' and random players' towns by dreaming.",https://dodo.ac/np/images/thumb/f/f0/NL_Dream_Suite_Exterior.jpg/250px-NL_Dream_Suite_Exterior.jpg
1655712984-1440,https://nookipedia.com/wiki/Category:Locations,Lighthouse,https://nookipedia.com/wiki/Lighthouse,Lighthouse,"The lighthouse is a structure in the player's town in Animal Crossing, Animal Crossing: City Folk, and Animal Crossing: New Leaf. It appears near the shoreline and shines a light at night.",https://dodo.ac/np/images/thumb/4/41/CF_Lighthouse.jpg/250px-CF_Lighthouse.jpg
